model,erc_type,learning_rate,epochs,batch_size,avg_iterations_erc1155_none,avg_time_erc1155_none,verification_rate_erc1155_none,overall_verification_rate,overall_avg_time,overall_avg_iterations
erc-1155-001-3-16,erc1155,0.001,3,16,7.9,377.81011867523193,0.3,0.3,377.81011867523193,7.9
erc-1155-001-5-16,erc1155,0.001,5,16,4.6,165.4122162103653,0.6,0.6,165.4122162103653,4.6
erc-1155-001-7-16,erc1155,0.001,7,16,7.1,288.9096799135208,0.4,0.4,288.9096799135208,7.1
erc-1155-005-3-16,erc1155,0.005,3,16,7.6,271.0003392457962,0.4,0.4,271.0003392457962,7.6
erc-1155-005-5-16,erc1155,0.005,5,16,6.0,223.22046732902527,0.5,0.5,223.22046732902527,6.0
erc-1155-005-7-16,erc1155,0.005,7,16,6.7,247.71165301799775,0.5,0.5,247.71165301799775,6.7
erc-1155-010-3-16,erc1155,0.01,3,16,10.0,252.67014882564544,0.0,0.0,252.67014882564544,10.0
erc-1155-010-5-16,erc1155,0.01,5,16,6.0,172.21148715019226,0.5,0.5,172.21148715019226,6.0
erc-1155-010-7-16,erc1155,0.01,7,16,10.0,268.5577013015747,0.0,0.0,268.5577013015747,10.0
erc-20-001-3-16,erc20,0.001,3,16,7.8,408.5593145847321,0.4,0.4,408.5593145847321,7.8
erc-20-001-5-16,erc20,0.001,5,16,9.9,333.2955471277237,0.1,0.1,333.2955471277237,9.9
erc-20-001-7-16,erc20,0.001,7,16,10.0,251.55123615264893,0.0,0.0,251.55123615264893,10.0
erc-20-005-3-16,erc20,0.005,3,16,10.0,375.76180896759035,0.0,0.0,375.76180896759035,10.0
erc-20-005-5-16,erc20,0.005,5,16,10.0,344.77390298843386,0.0,0.0,344.77390298843386,10.0
erc-20-005-7-16,erc20,0.005,7,16,10.0,324.81093435287477,0.0,0.0,324.81093435287477,10.0
erc-20-010-3-16,erc20,0.01,3,16,10.0,359.22117338180544,0.0,0.0,359.22117338180544,10.0
erc-20-010-5-16,erc20,0.01,5,16,10.0,388.9166532278061,0.0,0.0,388.9166532278061,10.0
erc-20-010-7-16,erc20,0.01,7,16,10.0,272.3052050828934,0.0,0.0,272.3052050828934,10.0
erc-721-001-3-16,erc721,0.001,3,16,7.7,363.6235148906708,0.3,0.3,363.6235148906708,7.7
erc-721-001-5-16,erc721,0.001,5,16,7.0,234.16236397955151,0.3333333333333333,0.3333333333333333,234.16236397955151,7.0
erc-721-001-7-16,erc721,0.001,7,16,9.3,339.51995446681974,0.1,0.1,339.51995446681974,9.3
erc-721-005-3-16,erc721,0.005,3,16,10.0,247.2128398180008,0.0,0.0,247.2128398180008,10.0
erc-721-005-5-16,erc721,0.005,5,16,10.0,188.43282148838043,0.0,0.0,188.43282148838043,10.0
erc-721-005-7-16,erc721,0.005,7,16,10.0,181.36573247909547,0.0,0.0,181.36573247909547,10.0
erc-721-010-3-16,erc721,0.01,3,16,10.0,176.60926826000212,0.0,0.0,176.60926826000212,10.0
erc-721-010-5-16,erc721,0.01,5,16,10.0,187.561115026474,0.0,0.0,187.561115026474,10.0
erc-721-010-7-16,erc721,0.01,7,16,10.0,181.49588105678558,0.0,0.0,181.49588105678558,10.0
