experiment_type,assistant,contract,first_time_success,second_iteration_success,loop_useful_cases,avg_iterations_if_successful
base_full_context,4o-mini,erc1155,13,13,29,1.3571428571428572
base_full_context,4o-mini,erc20,38,5,11,0.673469387755102
base_full_context,4o-mini,erc721,40,2,10,0.68
fine_tuning,erc-1155-001-5-16,erc1155,3,2,2,0.4
fine_tuning,erc-1155-001-5-16,erc20,0,0,2,2.0
fine_tuning,erc-1155-001-5-16,erc721,0,2,2,1.0
fine_tuning,erc-20-001-5-16,erc1155,0,0,1,6.0
fine_tuning,erc-20-001-5-16,erc20,0,1,3,6.0
fine_tuning,erc-20-001-5-16,erc721,0,0,1,2.0
fine_tuning,erc-20-1155-001-5-16,erc1155,0,3,6,2.6666666666666665
fine_tuning,erc-20-1155-001-5-16,erc20,0,0,4,3.0
fine_tuning,erc-20-1155-001-5-16,erc721,0,1,2,1.5
fine_tuning,erc-20-721-001-5-16,erc1155,0,2,3,1.6666666666666667
fine_tuning,erc-20-721-001-5-16,erc20,0,2,6,2.0
fine_tuning,erc-20-721-001-5-16,erc721,1,0,3,4.0
fine_tuning,erc-20-721-1155-001-5-16,erc1155,0,4,7,2.142857142857143
fine_tuning,erc-20-721-1155-001-5-16,erc20,0,4,6,1.8333333333333333
fine_tuning,erc-20-721-1155-001-5-16,erc721,0,2,7,3.5714285714285716
fine_tuning,erc-721-001-5-16,erc1155,0,1,1,1.0
fine_tuning,erc-721-001-5-16,erc20,0,0,1,5.0
fine_tuning,erc-721-001-5-16,erc721,0,0,3,4.666666666666667
fine_tuning,erc-721-1155-001-5-16,erc1155,1,0,4,1.8
fine_tuning,erc-721-1155-001-5-16,erc20,0,0,2,2.0
fine_tuning,erc-721-1155-001-5-16,erc721,0,0,4,4.25
